Source,Target,Type
МОЭСК во время проведения аварийновосстановительных работ вскрыло асфальтовое покрытие,МОЭСК,directed
МОЭСК,вскрыло,directed
Ямы находятся на траектории движения во двор,Ямы,directed
Ямы,находятся,directed
Волга очень давно стоит на одном месте тем самым перекрывает полосу для движения,Волга,directed
Волга,стоит,directed
Мигание мешает отдыху в ночное время,Мигание,directed
Мигание,мешает,directed
Бытовки убрали информационный щит тоже а горы асфальта и земли с бетоном остались,Бытовки,directed
Бытовки,убрали,directed
МОЭК проводит работы во дворе жилого дома  но ночного освещения нет,МОЭК,directed
МОЭК,проводит,directed
МОЭК в ноябредекабре 2019 г проводил ремонтные работы,МОЭК,directed
МОЭК,проводил,directed
Шономонтаж выкидывает старые покрышки за забор около железнодорожных путей,Шономонтаж,directed
Шономонтаж,выкидывает,directed
Бала вырыта канавапотом засыпанаБулыжники и камни остались на газоне возле спортивной площадкиУберите камни и булыжники с газона,Бала,directed
Бала,вырыта,directed
БЫТОВКИ И МУСОР ПОЧЕМУ  У  НАС  ВО  ДВОРЕ  ДО СИХ ПОР nУстраните это безобразие,БЫТОВКИ,directed
БЫТОВКИ,Устраните,directed
Настилы которые положили по предыдущему обращению переломались через неделю,Настилы,directed
Настилы,положили,directed
Грунт выносится колёсами аатомобилей с прилегающей территории на тротуар и проезжую часть,Грунт,directed
Грунт,выносится,directed
Неделю назад КАМАЗы выгрузили кучи мусора и землиЛюдям мешает парковать авто и ходитьПримите срочно мерыУберите всё,КАМАЗы,directed
КАМАЗы,выгрузили,directed
Щита нет с самого начала стройки,Щита,directed
Щита,нет,directed
Яма уже 3 годане востановили благоустройстао после строительных работ,Яма,directed
Яма,востановили,directed
Земля  грунт смывается с газона на пешеходную дорожку изза отсутствия бордюрного камня,Земля,directed
Земля,смывается,directed
ПожалуйстагЖиваева когда Вы сдаете работуона должна быть в рабочем состоянии и она должна быть открыта и по ней должены ходить люди,ПожалуйстагЖиваева,directed
ПожалуйстагЖиваева,сдаете,directed
Траншея на проезжей части выгорожена не типовым ограждением,Траншея,directed
Траншея,выгорожена,directed
Вандал расписал дорзнак с обратной стороны,Вандал,directed
Вандал,расписал,directed
Моэск кладет кабель по всей трассе нет ночного освещения,Моэск,directed
Моэск,кладет,directed
МФЦ закрыто более 2х месяцев назад один указатель убрали после моего обращения а второй в 50 метрах от первого оставили висеть,МФЦ,directed
МФЦ,закрыто,directed
МФЦ по указанному адресу закрыт более 2 месяцев назад,МФЦ,directed
МФЦ,закрыт,directed
Парковка устроена на месте ряда снесенных металлических тентов,Парковка,directed
Парковка,устроена,directed
Зимой МОЭСК производил аварийный ремонт электрокабеля а до сих пор не восстановлен бордюрный камень и асфальт на парковке,МОЭСК,directed
МОЭСК,производил,directed
Стилобат и придомовая территория используются для складирования стройматериалов и строительного мусора хранение которых представляет опасность для прохожих,Стилобат,directed
Стилобат,используются,directed
Водосток у первого подъезда забит листвой из за этого весь двор скоро будет в воде,Водосток,directed
Водосток,забит,directed
Асфальт весь потрескался по сторонам большие колеи от машин,Асфальт,directed
Асфальт,потрескался,directed
ОбращениеnnОтсуствует сплошное ограждение строительной площадкиnnПрошу устранитьnnСпасибо,Обращениеn,directed
Обращениеn,nОтсуствует,directed
Школьница 7 октября в 0745 бежала на трамвай завязла в грязи потеряла ботинок испачкала белые колготки их теперь не отстирать,Школьница,directed
Школьница,бежала,directed
При ремонте коммуникаций МОЭСК разбирал кладку с торца дома ул Земляной вал д127 с1,МОЭСК,directed
МОЭСК,разбирал,directed
Экскаватор при выезде со стройплощадки разносит грязь по тротуару и проезжей части двора,Экскаватор,directed
Экскаватор,разносит,directed
Трактор разворотил грунт при въезде за огрождение,Трактор,directed
Трактор,разворотил,directed
Грунт и стройматериалы третий месяц захламляют территорию,Грунт,directed
Грунт,захламляют,directed
Асфальт поменяли 2 недели назад а старый похоже убирать никто не собирается,Асфальт,directed
Асфальт,поменяли,directed
Щебенка и другие материалы высыпаны прямо на прилегающей к дому территории при этом ничто не препятствует размыванию куч во время дождя,Щебенка,directed
Щебенка,высыпаны,directed
Мосводоканал после окончания работ по прокладке трубы в июне  августе месяце не восстановил асфальт на тротуаре и газон на обочине,Мосводоканал,directed
Мосводоканал,не восстановил,directed
nКотлован разрыт более 6 месяцев никакие работы не ведутсяnПрошу согласно истекшему сроку разрешения на работы прекратить строительство и восстановить дорожное покрытие и прилегающую территорию,nКотлован,directed
nКотлован,разрыт,directed
Мосводоканал две недели назад проводил ремонтные работы,Мосводоканал,directed
Мосводоканал,проводил,directed
nnСРОЧНО просим вас убрать эту кучу мусора камней и земли с проезжей части навалили на автостоянке,nnСРОЧНО,directed
nnСРОЧНО,просим,directed
Шиномонтаж снял асфальт на части придомовой парковки и начал подготовку к нулевому циклу незаконного строительства то ли автосервиса то ли кафе точной информации нет на месте парковочных мест жильцов дома под эстакадой которые являются городской собственностью и находились до недавнего времени в общем пользовании всех жильцов дома,Шиномонтаж,directed
Шиномонтаж,снял,directed
Зачем вы отчитываетесь о проделанной работе если вокруг просто ВСЁ завалено мусором,ВСЁ,directed
ВСЁ,завалено,directed
Балтстройресурс проводил здесь перекладку коммуникаций больше года назад но так и не восстановил благоустройство,Балтстройресурс,directed
Балтстройресурс,проводил,directed
Фонари установили не новые а сняли с правой части стройки которые вешали по обращению 14114638 чисто для фото их даже не включают,Фонари,directed
Фонари,установили,directed
МОЭК не подтверждает проведение какихлибо работ по данному адресу,МОЭК,directed
МОЭК,не подтверждает,directed
nПосетители с детьми постоянно идут в больницу с детьми и на руках и с колясками нам навстречу и просто не разойтись с нимиnИ около урн вот такой бардак почти всегда круглогодичноnРебёнок смотрит на это 2 раза в день по дороге в садик и обратно каждый день,nРебёнок,directed
nРебёнок,смотрит,directed
Более полугода старый Газель рег знак А691КС77 постоянно стоит с полностью спущенными колесами на корпусе многочисленные участки подвергшиеся коррозии,Газель,directed
Газель,стоит,directed
Авто стоит в центре жилого микрорайона непосредственно у перекрестка изза высокого корпуса закрывается обзор что создает условия для аварийных ситуаций,Авто,directed
Авто,стоит,directed
Асфальт просто засыпан солью на свежевыпавший снег,Асфальт,directed
Асфальт,засыпан,directed
nМусор лежит уже более месяцаСостоит из снятого асфальта мелкого мусора,nМусор,directed
nМусор,лежит,directed
Летом 2013 года Мосгаз начал работы по замене газопровода проходящего вдоль под проезжей частью 1го Самотечного переулка,Мосгаз,directed
Мосгаз,начал,directed
Кошмар дворники не выполняют свою работу а их руководство свою,Кошмар,directed
Кошмар,не выполняют,directed
Напротив Автодора более 3х суток не убирается КГМ в полосе отвода ад,КГМ,directed
КГМ,не убирается,directed
Сосульки свисают со стоков эстакады над головами пешеходов,Сосульки,directed
Сосульки,свисают,directed
Яма присыпана камнями уже несколько месяцев  с коляской проблема проехать,Яма,directed
Яма,присыпана,directed
Газон разбит машинами грязь от стройки на дороге в том числе пешеходной,Газон,directed
Газон,разбит,directed
Яма осталась после установке столба около пешеходного перехода около остановки трамвая,Яма,directed
Яма,осталась,directed
в конце Тюменского проезда  по ночам КАМАЗы скидывают строительный мусор на проезжую часть примите меры,КАМАЗы,directed
КАМАЗы,скидывают,directed
Однажды КАМаз наехал на каменную глыбу для ограждения она отпрыгнула на неогражденный тротуар и чуть не задела идущую женщину,КАМаз,directed
КАМаз,наехал,directed
Штендер переехал с газона приблизительно на 30 метров левее к дверям конторы его разместившей,Штендер,directed
Штендер,переехал,directed
Асфальт не уложен после разрытий,Асфальт,directed
Асфальт,не уложен,directed
Брусчатка положена не в уровень не ровно с большими зазорами,Брусчатка,directed
Брусчатка,положена,directed
Канава на тротуаре оставлена после прокладки коммуникаций,Канава,directed
Канава,оставлена,directed
Газон был убит проведением работ по строительству дома 13,Газон,directed
Газон,убит,directed
Жилищник свалил трубы и очень сильно повредил дерево,Жилищник,directed
Жилищник,свалил,directed
Разрыл МОЭК уже как месяц назад работы ни какие не ведутся,МОЭК,directed
МОЭК,Разрыл,directed
Каток залит отвратительно по краю ездить невозможнолёд проваливаетсяОчень  опасный каток для новичков да и не для новичка приятного от катания получаешь малоТого и гляди чтобы в яму не залететьЛёд плохо чистят недоливают не полируютЗавтра выложу фотоbr anbr nbr nbr nbr nbr n,Каток,directed
Каток,залит,directed
Велодорожка завалена песком который там разгружают для строительства площадки,Велодорожка,directed
Велодорожка,завалена,directed
Трактор возит материалы видно на фото тем самым покрытые  асфальт и плитку  уже убили  повреждены,Трактор,directed
Трактор,возит,directed
Я часто посещаю Люблинское Кладбищеприехал в очередной раз на могилу знакомого и увидел что снесли центральный бетонный заборПодумал что ведётся реконструкцияОказывает вместо забора строиться капитальное строение магазин Цветы а так же у администрации Кладбища строится две капитальные стены под урны колумбарииПрошу Вас проверить разрешение на данные строительства на законных ли они основаниях так как здание так называемое Цветы будет находится вместо забора Кладбища и очень близко к могилам примерно метрИ возможности к ним могилам пройти не будет если только бокомИ так как Кладбище находится на повороте там очень часто происходят аварииавтомобили влетают то в столбы то в забор,Кладбище,directed
Кладбище,находится,directed
Прошёл год Яма с 1993г остаётся на месте,Яма,directed
Яма,Прошёл,directed
Пятёрочка находится в 50 метрах от школьного двора,Пятёрочка,directed
Пятёрочка,находится,directed
Вьезд в арку жилого дома имеет огромный перепад с проезжей частью что не доступно для многих автомобилей,Вьезд,directed
Вьезд,имеет,directed
МОЭК раскопал все пешеходные дорожки,МОЭК,directed
МОЭК,раскопал,directed
Сосульки и наледь внушительных размеров и в большом количестве свисают с крыши козырьков и коммуникаций,Сосульки,directed
Сосульки,свисают,directed
Мосводоканал проводящий работы на данной стороне улицы оставил после себя разбитую дорогу и газон,Мосводоканал,directed
Мосводоканал,проводящий,directed
МОЭК перекопал тротуар и не закопали ямы обратно,МОЭК,directed
МОЭК,перекопал,directed
Мусор просто мешают с грунтом бульдозером,Мусор,directed
Мусор,мешают,directed
Забора нет вокруг строительной площадки,Забора,directed
Забора,нет,directed
Ларек закрывает тротуар и проезд все его обходят через остановку,Ларек,directed
Ларек,закрывает,directed
Котлован разрыт на проезжей части парковочные карманы,Котлован,directed
Котлован,разрыт,directed
Камазы чуть не раздавили человека хамят,Камазы,directed
Камазы,не раздавили,directed
Спецтехника не жалеет дорожный покровкуча грязи,Спецтехника,directed
Спецтехника,не жалеет,directed
Яма находится на узком участке тротуара с интенсивным движением пешеходов,Яма,directed
Яма,находится,directed
Мерседес был перетащен сюда эвакуаторами при перекладке асфальта в 2011 году,Мерседес,directed
Мерседес,перетащен,directed
Ремонтники раскидали вокруг не только строительный мусор но ещё и устроили свалку бытового мусора прямо в лесу,Ремонтники,directed
Ремонтники,раскидали,directed
Асфальт долго не восстановливают после ремонта остатки строительного мусора,Асфальт,directed
Асфальт,не восстановливают,directed
Гурьянова д 55 не убрано возле урн для раздельного сбора мусора,Гурьянова,directed
Гурьянова,не убрано,directed
Песокземля вымывается дождём на тротуар,Песокземля,directed
Песокземля,вымывается,directed
В сквере у метро Спортивная незаконно торгуют книгами с утра и до обеда по будням,Спортивная,directed
Спортивная,торгуют,directed
Пандусслева от лестницы совершенно не пригоден для пользования,Пандусслева,directed
Пандусслева,не пригоден,directed
Газон давно был перекопан строителями все брошено вот в таком виде,Газон,directed
Газон,перекопан,directed
Пандус прогнил в нескольких местах его эксплуатация опасна  для здоровья граждан,Пандус,directed
Пандус,прогнил,directed
Яма заполнена фекалиями и бытовым мусором,Яма,directed
Яма,заполнена,directed
Окна сняли в 4 подъезде больше недели назад и в 3м сейчас снимают,Окна,directed
Окна,сняли,directed
Ведро стоит несколько дней прямо перед подъездом,Ведро,directed
Ведро,стоит,directed
Пожалуйста устраните проблемуnnС уважением nnАнна,nnАнна,directed
nnАнна,устраните,directed
Штендеры поменяли местами но как видите они стоят,Штендеры,directed
Штендеры,поменяли,directed
Яма находиться около детской поликлиники,Яма,directed
Яма,находиться,directed
Неизвестые выбросили на середину замерзшего пруда автомобильные покрышки,Неизвестые,directed
Неизвестые,выбросили,directed
МОЭК проводил работы после себя оставил  в таком состоянии,МОЭК,directed
МОЭК,проводил,directed
Асфальт уходит вниз из за подземных вод там строительство дома в принципе было запрещено,Асфальт,directed
Асфальт,уходит,directed
Киоск перегородил маленькую дорожку ведущую во двор и мешает проходуПросим убрать неработающий киоск,Киоск,directed
Киоск,перегородил,directed
В конце прошлого года МОЭК проводил ремонтные работы,МОЭК,directed
МОЭК,проводил,directed
Асфальт потрескался через несколько дней после укладки,Асфальт,directed
Асфальт,потрескался,directed
Територия загороженна временным забором,Територия,directed
Територия,загороженна,directed
Инфощит содержит неактуальную информацию относящуюся к 2 и 3 кварталам,Инфощит,directed
Инфощит,содержит,directed
Гравий разбросан по проезжей части тротуару и уже развезен автомобилями во дворы,Гравий,directed
Гравий,разбросан,directed
МОЭК проводит замену труб водоснабжения и при этом отсутствует информационный щит,МОЭК,directed
МОЭК,проводит,directed
В июне июле 2017 года Мосводоканал проводил ремонтные работы в связи с порывом водовода у ЦТП во дворе дома 4 корпус 2 по улице Академика Королева,Мосводоканал,directed
Мосводоканал,проводил,directed
Королёва д 32 и Кашёнкин луг д 11 строители грубо нарушают благоустройство придорожных газонов не удаляя и не вывозя асфальт и бетонные плиты после строительства временно положенные ими при строительстве дороги вдоль железнодорожного полотна,Королёва,directed
Королёва,нарушают,directed
Сейчас идёт строительство МЦД и забор считается временным на время строительных работ некий Ларин в июне месяце написал отписку что забор стоит на дорогепроезжей части потому что он стоит в роли ограждения от людей на ЖД пути что было неуместно в его ответе,Ларин,directed
Ларин,написал,directed
Пекарня не работает уже 3 месяца а полуперегоревшую вывеску до сих пор не убираютn2,Пекарня,directed
Пекарня,работает,directed
Автолюбители активно используют газон придомовой территории д25 в качестве парковки,Автолюбители,directed
Автолюбители,используют,directed
На каком основании Чайхона 1 занимает часть пешеходной зоны по направлению к метро чеховская тем самым затрудняя движение пешеходов,Чайхона,directed
Чайхона,занимает,directed
Мосгаз оставил после себя испорченный газон тротуар  бардюр,Мосгаз,directed
Мосгаз,оставил,directed
МОЭК проводил раскопки ничего после себя не восстановил помял ограждения снятые ограждения на место не вернули,МОЭК,directed
МОЭК,проводил,directed
Вагончики освещаются электричеством от дома 10 к1,Вагончики,directed
Вагончики,освещаются,directed
Бабулька продаёт носки и спуска от метро к киноцентру,Бабулька,directed
Бабулька,продаёт,directed
Поэтому Застройщик использует наш двор как свою стройплощадку о которой нет никаких вывесок,Застройщик,directed
Застройщик,использует,directed
Под мостом между метро Спортивная и мцк торгуют одеждой утром не было днем уже появились,Спортивная,directed
Спортивная,торгуют,directed
Тротуара был сделан в прошлом году и теперь выглядит так,Тротуара,directed
Тротуара,сделан,directed
Стройтехника разбила дорогу и слой грязи такой что становится невозможным добраться до общ транспорта а другой дороги нет,Стройтехника,directed
Стройтехника,разбила,directed
Сосульки с руку висят над тротуаром,Сосульки,directed
Сосульки,висят,directed
Растяжка раположена на ограждении проезжей части и тротуара перед входом в подземный переход,Растяжка,directed
Растяжка,раположена,directed
Мосводоканалпосле проведённых работоставил асфальт в ужасном состояниисейчас образовалась огромная дырапроехать не возможноnНекачественно положили асфальтпосле работnПроблемный участок под балконами дома 34 корпус 1по улице чертановскаяна выезде,Мосводоканалпосле,directed
Мосводоканалпосле,работоставил,directed
Навалы грунта непонятного происхождения пролежали здесь все дето и продолжают лежать,Навалы,directed
Навалы,пролежали,directed
Бомжи там устроили себе туалет а наши дети ходят в школу мимо этих развалин,Бомжи,directed
Бомжи,устроили,directed
Глина растекается по всей территории,Глина,directed
Глина,растекается,directed
Контейнернакопитель остался на месте,Контейнернакопитель,directed
Контейнернакопитель,остался,directed
Асфальт положен с частичными неровностями,Асфальт,directed
Асфальт,положен,directed
Яма при выезде на каскадную в прошлом году уже засыпали отходами асфальта  без должного результата прошу именно заасфальтировать,Яма,directed
Яма,засыпали,directed
Котлован разрыт уже очень долгое время,Котлован,directed
Котлован,разрыт,directed
На сегодняшний день на месте ремонтных работ АБП имеет провалы,АБП,directed
АБП,имеет,directed
ОИВ не выявили никаких проблем и опровергли мое сообщение,ОИВ,directed
ОИВ,не выявили,directed
Ветошь относится к 4 классу опасности он хоть и малоопасен но влияет на загрязнение окружающей среды,Ветошь,directed
Ветошь,относится,directed
Гравий раскидывается по дороге техникой и пешеходами,Гравий,directed
Гравий,раскидывается,directed
Асфальт деформировался после окончания ремонта изза провала грунта под ним,Асфальт,directed
Асфальт,деформировался,directed
Мосгаз не уложился в установленные сроки проведения реконструкции в связи с этим занимает место на общественной парковкесогласно вывеске дата окончания работ151114,Мосгаз,directed
Мосгаз,не уложился,directed
Штендер с рекламой разливных напитков прикреплен цепью к дереву,Штендер,directed
Штендер,прикреплен,directed
Газзон уничтожен тракторами и самосвалами,Газзон,directed
Газзон,уничтожен,directed
Графитчики отметились черным маркером на здании возле ворот клиники,Графитчики,directed
Графитчики,отметились,directed
Земля с него во время дождя попадает на пешеходную зону и проезжую часть,Земля,directed
Земля,попадает,directed
Там постоянно ходят дети а Вы такую работу признаете удовлетворительной,Вы,directed
Вы,признаете,directed
Асфальт после ремонтных работ на теплотрассе провалился с одной стороны на полметра и продолжает проседать напротив угла дома и подъезда 2,Асфальт,directed
Асфальт,провалился,directed
Пятёрочка не следит за своими мусорками в итоге это превратилось в свалку,Пятёрочка,directed
Пятёрочка,не следит,directed
Промоина таким образом образовалась в основании лестницы  лужа заполнила всю ширину подхода,Промоина,directed
Промоина,образовалась,directed
Яма не закопана несмотря на то что работы закончены 30 марта,Яма,directed
Яма,не закопана,directed
МИСК проводя работы на территории природного заказника Долина реки Сетунь сломало тяжёлой техникой деревянный настил от,МИСК,directed
МИСК,проводя,directed
МИСК выполняя работы по строительству регулярно нарушает правила вынося грунт со стройки на Проектируемый 726й проезд на который выходят четыре выездаnМаршрутом пользуются как местные жители так и сотрудники бизнес центра,МИСК,directed
МИСК,выполняя,directed
После прокладки коммуникаций при строительстве метро Озерная не приведена в порядок прилегающая территория,Озерная,directed
Озерная,не приведена,directed
